Student_ID,Name,Electronics,Programming,Database,Data Science,Mathematics,DSA
128,Dakshesh Bali,38,82,55,59,98,47
129,Saanvi Chanda,78,77,88,35,70,44
130,Gaurangi Natarajan,80,56,62,58,45,94
131,Nakul Suri,90,82,98,66,48,93
132,Janya Sehgal,47,43,78,46,96,68
133,Waida Aurora,30,88,76,97,41,97
134,Ekanta Verma,93,61,47,68,82,91
135,Amaira Chawla,46,60,36,79,91,92
136,Girik Ramesh,35,83,68,61,41,53
137,Chandresh Nazareth,46,38,34,42,89,88
138,Caleb Srinivas,60,82,85,72,68,56
139,Yashawini Deol,66,63,39,64,98,93
140,Madhav Cherian,82,85,40,80,61,38
141,Yashawini Kibe,81,60,60,41,52,96
142,Sathvik Shukla,90,52,65,60,58,86
143,Viraj Naik,48,74,51,79,92,37
144,Abdul Shah,52,31,59,78,46,79
145,Rajata Sodhi,70,82,70,50,55,78
146,Unnati Wali,32,74,43,52,83,73
147,Ria Srinivasan,72,49,53,88,93,49
148,Yashoda Kanda,97,32,34,80,44,96
149,Brijesh Verma,80,49,87,40,81,51
150,Advik Rajagopalan,60,60,72,88,43,56
151,Yagnesh Wason,37,91,74,59,79,32
152,Anjali Chandran,37,70,42,35,70,82
153,Rehaan Barad,50,57,42,53,80,30
154,Krishna Minhas,50,49,52,66,74,91
155,Advaith Ganesh,91,78,80,72,58,50
156,Amara Mitter,99,48,95,88,80,35
157,Patrick Deep,55,70,67,94,54,59
158,Vivaan Rajagopal,33,35,52,83,66,87
159,Krishna Toor,31,61,60,94,91,87
160,Praneel Ramaswamy,94,93,54,85,78,46
161,Dayita Sule,48,78,85,77,97,78
162,Daksh Bawa,41,61,72,44,80,76
163,Qarin Bora,76,48,37,46,67,90
164,Anjali Balay,36,94,88,51,52,93
165,Laksh Grover,43,31,30,33,69,37
166,Noah Doshi,91,91,62,83,68,36
167,Ikbal Puri,36,31,80,79,71,56
168,Dalbir Vyas,79,85,75,48,82,74
169,Gaurang Dada,64,48,57,78,72,75
170,Triya Ramachandran,40,76,54,63,45,41
171,Triya Prabhakar,92,47,78,71,67,69
172,Advik Pathak,41,87,96,42,85,67
173,Nathan Garde,74,54,33,88,98,35
174,Harita Dyal,50,69,50,91,84,32
175,Indali Rao,66,40,86,79,72,74
176,Bachittar Soni,33,71,47,92,33,30
177,Xavier Sem,77,46,70,30,69,51
178,Pranav Chhabra,90,83,86,40,60,45
179,Sanaya Sha,57,73,62,59,68,96
180,Gautam Magar,61,99,42,57,54,97
181,Aditya Varughese,93,31,41,71,74,54
182,Falguni Subramanian,56,41,75,87,57,70
183,Unni Parekh,75,58,70,56,39,89
184,Andrew Rana,63,68,92,46,33,50
185,Ekalinga Bakshi,88,98,80,89,47,79
186,Ayushman Karan,88,88,97,58,81,92
187,Farhan Sha,82,42,91,88,35,78
188,Gabriel Pandya,44,35,43,51,54,97
189,Chameli Sule,60,77,33,58,93,53
190,Zashil Narayanan,36,34,74,66,98,38
191,Luke Tripathi,49,52,70,41,43,57
192,Anya Menon,50,78,72,54,81,34
193,Imaran Balakrishnan,65,49,57,67,33,85
194,George Hora,36,98,78,68,40,65
195,Chandran Narasimhan,31,57,67,45,87,85
196,Tanay Verma,58,48,51,38,62,67
197,Nidra Iyengar,50,62,86,43,72,82
198,Onveer Padmanabhan,89,59,50,45,94,70
199,Balveer Gara,39,51,80,68,39,32
200,Geetika Pandey,67,70,46,34,91,77
201,Vrishti Kara,85,97,54,55,34,91
202,Ekantika Memon,86,63,73,92,80,56
203,Oscar Rajagopal,97,31,40,36,54,85
204,Ekta Vyas,77,30,58,70,76,77
205,Wishi Kunda,83,43,40,95,91,72
206,Damyanti Shenoy,53,95,33,97,32,92
207,Aarnav Tella,62,38,74,94,48,60
208,Chakradhar Reddy,63,51,64,44,56,58
209,Bhanumati Bhagat,65,58,64,94,63,60
210,Rushil Raj,73,90,46,36,67,96
211,Jatin Nair,33,53,80,56,97,99
212,Ikshita Parikh,37,81,97,33,51,32
213,Peter Baral,37,39,43,89,31,63
214,Bimala Shere,50,69,91,60,79,59
215,Gabriel Pandey,76,52,46,37,49,77
216,Oeshi Rai,52,48,85,54,35,44
217,Guneet Pal,44,52,80,80,73,31
218,Laban Lanka,63,60,68,80,46,69
219,Frado Sharaf,99,37,44,77,41,98
220,Lila Shenoy,58,84,61,65,78,70
221,Aachal More,51,39,72,52,85,73
222,Jagvi Srinivas,54,43,85,66,72,99
223,Diya Borah,66,63,38,97,91,46
224,Ekalinga Kannan,90,32,59,42,47,95
225,Vaishnavi Bhagat,53,37,60,65,98,86
226,Barkha Seth,96,30,52,96,40,38
227,Lucky Barman,39,83,64,39,30,48
228,Jyoti Rao,37,53,89,83,79,94
229,Banjeet Bali,78,31,35,82,93,53
230,Vivaan Kata,56,80,78,54,77,92
231,Omya Kamdar,80,63,72,97,70,51
232,Adweta Seth,54,79,65,91,57,53
233,Adya Som,62,71,50,79,86,33
234,Abhimanyu Virk,79,69,88,31,71,79
235,Hemani Purohit,42,91,36,46,64,92
236,Manthan Sood,76,79,97,85,55,47
237,Gaurang Sagar,78,41,41,40,74,47
238,Lohit Saraf,99,36,32,33,71,67
239,Pratyush Wadhwa,85,52,88,50,69,72
240,Darsh Misra,96,82,48,42,74,92
241,Niharika Buch,92,88,93,90,95,80
242,Yug Dora,58,40,39,90,84,73
243,Qushi Hari,49,72,77,73,71,52
244,Alka Sodhi,37,55,43,68,35,43
245,Akshay Master,45,59,99,45,59,87
246,Nathaniel Gole,75,67,94,56,34,81
247,Oni Dhingra,59,74,69,43,99,96
248,Mugdha Mohanty,44,70,49,63,54,44
249,Aishani Nanda,99,46,41,80,73,65
250,Pranav Narayan,30,84,36,95,44,98
251,Zaid Kala,96,33,84,80,77,67
252,Ucchal Madan,76,72,45,40,63,72
253,Bhanumati Sanghvi,74,88,55,95,65,98
254,Xavier Modi,47,56,90,81,37,73
255,Siddharth Anne,34,69,59,99,98,69
256,Fitan Parmar,31,99,66,57,67,48
257,Laban Bhattacharyya,40,85,60,79,50,83
258,Gauri Johal,82,61,80,79,90,86
259,Jack Shankar,79,32,65,73,97,50
260,Dev Mall,97,69,66,54,35,48
261,Pranav Bajaj,39,70,43,89,74,68
262,Damyanti Chandran,92,90,57,88,57,99
263,Chandani Sahni,35,54,75,35,61,52
264,Ayaan Kunda,46,36,90,38,39,49
265,Kevin Deol,32,37,35,58,85,82
266,Bachittar Soman,83,77,95,95,74,52
267,Jai Malhotra,76,49,43,66,66,87
268,Banjeet Pingle,34,75,38,86,39,85
269,Harini Khatri,83,30,85,32,64,42
270,Yasti Lala,89,57,97,92,90,50
271,Nisha Lal,74,82,68,76,81,80
272,Yachana Narayanan,71,52,49,73,69,82
273,Omaja Dhar,75,48,52,50,83,69
274,Radha Din,58,68,98,53,64,77
275,Urishilla Warrior,59,70,92,85,53,86
276,Chanchal Varty,87,82,40,45,45,39
277,Parth Sehgal,35,79,59,33,55,90
278,Ladli Pant,71,82,64,57,86,56
279,Gaurav Ramesh,32,40,74,92,77,61
280,Kiaan Venkataraman,60,51,57,47,34,35
281,Ayushman Venkataraman,68,60,79,89,58,74
282,Michael Chaudhry,63,93,58,76,34,47
283,Kavya Pal,91,35,91,38,40,33
284,Fiyaz Chokshi,37,84,82,70,95,56
285,Jalsa Wali,69,34,45,62,90,37
286,Devika Dixit,85,94,49,55,76,73
287,Aayush Bose,64,46,32,63,31,98
288,Indrajit Hari,81,95,34,52,59,99
289,Jagdish Pillay,88,66,75,41,96,76
290,Rachana Samra,67,61,72,95,57,43
291,Samarth Suresh,88,86,90,80,47,37
292,Ranbir Prabhakar,32,66,79,97,61,64
293,Chakradev Parekh,94,88,77,78,57,68
294,Daniel Bumb,53,37,44,91,32,30
295,Siddharth Raju,31,37,89,44,46,33
296,Pahal Seth,81,38,98,31,56,79
297,Kashvi Palan,31,57,80,58,61,53
298,Niharika Sura,75,79,60,85,69,69
299,Vidhi Sheth,69,58,79,82,43,37
300,Max Khalsa,94,57,57,67,97,33
301,Jagat Ahluwalia,64,59,81,33,83,84
302,Kritika Chad,52,47,44,82,73,78
303,George Pillai,35,88,33,34,44,82
304,Xavier Gandhi,49,57,80,41,72,44
305,Qushi Nanda,85,90,77,36,69,46
306,Unni Butala,97,75,51,95,81,78
307,Vrinda Sama,62,56,78,35,53,44
308,Qarin Dyal,30,82,35,55,81,71
309,Frederick Bumb,78,52,91,51,32,70
310,Bhanumati Lall,71,31,73,85,82,79
311,Nathaniel Dada,55,58,81,36,59,73
312,Avni Kashyap,66,92,39,62,97,99
313,Arunima Bobal,85,76,66,50,69,89
314,Hemal Rajagopal,86,95,76,67,76,83
315,Tripti Bhargava,75,36,95,91,98,62
316,Krisha Sekhon,51,98,40,99,74,98
317,Gabriel Chacko,46,75,76,97,47,32
318,Nilima Ganesh,50,76,40,95,81,77
319,Isaiah Sharaf,86,63,48,55,90,92
320,Vasatika Bajwa,95,83,75,90,83,70
321,Watika Dada,98,77,69,64,38,85
322,Vincent Pingle,30,79,96,37,63,78
323,Frederick Palla,94,33,93,71,93,48
324,Naksh Das,66,52,82,71,60,57
325,Pavani Soni,40,97,66,72,54,70
326,Ekavir Butala,38,73,36,71,78,98
327,Ishwar Bajwa,95,57,41,79,56,70
328,Faraj Loyal,84,32,96,83,36,55
329,Maanas Balakrishnan,63,91,66,86,53,97
330,Ekbal Bora,52,69,53,49,39,42
331,Pooja Pau,59,46,85,48,39,33
332,Anamika Das,57,86,80,46,64,90
333,Gunbir Thaker,49,86,74,78,30,51
334,Neel Muni,96,61,93,47,66,72
335,Arjun Mangat,90,58,31,34,65,49
336,Kalpit Yogi,48,69,35,60,55,34
337,Naksh Tailor,43,34,71,53,96,95
338,Kevin Bhattacharyya,31,87,44,37,54,53
339,Om Sagar,77,76,40,59,51,73
340,Omya Gill,66,84,89,51,61,32
341,Lohit Saxena,33,86,69,92,38,40
342,Hritik Wadhwa,79,62,84,35,42,86
343,Oscar Chana,72,95,40,72,70,82
344,Ishita Mahajan,56,46,84,91,98,54
345,Nirja Dutt,87,33,84,54,84,37
346,Parth Chhabra,55,70,31,51,62,73
347,Vamakshi Jha,30,98,59,33,91,66
348,Chasmum Gill,96,35,58,52,43,96
349,Fitan Puri,56,36,65,86,53,38
350,Atharv Mall,50,50,41,78,86,83
351,Wyatt Kothari,40,76,89,36,60,80
352,Indira Sura,51,97,35,76,83,66
353,Nitara Mann,67,51,42,44,63,80
354,Yuvraj Basak,61,44,73,95,36,43
355,Maya Dar,37,50,40,77,30,92
356,Yachana Patla,93,74,91,76,81,42
357,Devika Srivastava,31,50,46,86,90,79
358,Joshua Gour,32,46,90,30,64,30
359,Tanvi Loke,93,82,49,78,38,41
360,Pallavi Ben,61,40,32,94,46,98
361,Neel Malhotra,74,79,55,37,33,68
362,Widisha Bail,34,69,91,62,43,92
363,Shravya Kunda,87,42,95,54,43,72
364,Mitali Korpal,53,80,75,77,48,75
365,Lakshit Samra,45,46,85,36,38,31
366,Bhavya Prabhakar,80,89,35,83,31,97
367,Rohan Ramanathan,83,96,83,67,36,89
368,Umang Roy,70,64,74,70,80,48
369,Yuvraj Oommen,84,83,51,57,34,51
370,Garima Mohan,88,81,97,98,99,84
371,Tanmayi Chand,64,97,51,77,43,98
372,Timothy Pradhan,68,86,44,38,80,56
373,Prisha Jhaveri,92,98,82,94,71,74
374,Ayaan Sarna,48,30,58,50,74,94
375,Chatura Dayal,97,99,70,54,35,55
376,Vedant Sinha,43,50,99,56,34,78
377,Vedhika Sagar,38,46,61,99,67,54
378,Bhavya Gupta,99,81,56,70,97,37
379,Ikbal Hora,86,36,61,72,53,78
380,Barkha Ravel,83,35,60,30,65,88
381,Warinder Lad,75,92,81,99,71,90
382,Manbir Ranganathan,97,98,97,70,40,90
383,Nirja Dhawan,97,37,70,76,95,54
384,Urvashi Bedi,97,34,51,91,87,58
385,Patrick Salvi,99,92,70,65,37,69
386,Sneha De,78,99,81,86,77,89
387,Nimrat Issac,90,83,56,52,60,67
388,Aarnav Tiwari,51,47,99,57,83,50
389,Nakul Bedi,57,98,39,95,78,32
390,Advay Kade,35,59,58,58,73,49
391,Tanvi Sane,56,85,98,91,42,79
392,Zarna Bhatti,99,45,79,44,81,77
393,Aditya Sarma,46,61,74,53,32,75
394,Charvi Buch,50,60,92,79,52,94
395,Abdul Memon,65,49,48,71,93,65
396,Mason Rastogi,33,88,30,87,90,32
397,Charles Varghese,77,82,79,66,73,72
398,Max Bhat,81,66,45,72,97,47
399,Vinaya Puri,38,30,60,87,74,77
400,Leela Prashad,69,57,87,78,97,78
401,Nilima Khanna,79,75,39,41,36,48
402,Riya Mannan,67,65,65,84,35,64
403,Unnati Sodhi,31,72,50,79,72,49
404,Elijah Bakshi,59,45,72,57,89,75
405,Samuel Handa,46,42,77,55,62,33
406,Henry Pradhan,84,77,82,33,98,40
407,Charita Bansal,32,67,97,70,54,93
408,Isaiah Arora,36,31,68,38,98,73
409,Zaid Sur,69,47,48,87,79,33
410,Warhi Kara,91,91,41,89,97,78
411,Zaid Jhaveri,40,77,41,66,93,96
412,Rushil Dyal,92,95,84,57,65,91
413,Dayamai Gopal,46,38,88,56,45,41
414,Rachana Loke,96,68,75,42,57,97
415,Indrajit Karpe,68,52,91,44,63,47
416,Anamika Chand,37,77,71,71,46,85
417,Timothy Patel,76,60,88,50,96,59
418,Reva Sibal,40,54,84,97,93,98
419,Vamakshi Divan,40,97,42,47,41,49
420,Saanvi Madan,48,80,93,88,80,33
421,Gauri Konda,65,98,76,62,95,85
422,Fariq Swaminathan,90,30,98,35,96,81
423,Nilima Bhandari,34,59,93,41,31,87
424,Kiaan Goel,50,93,87,74,98,81
425,Kai Kalla,90,61,58,46,34,85
426,Upkaar Tata,66,78,78,95,41,52
427,Chanchal Kumar,45,91,55,54,83,41
428,Aishani Vohra,76,57,54,72,94,36
429,Nandini Kant,54,32,85,74,60,90
430,Keya Amble,79,90,43,47,63,32
431,Abeer Bose,90,66,85,72,36,33
432,Nidra Murty,49,80,73,53,74,46
433,Pranav Guha,42,33,30,39,50,87
434,Kabir Ben,76,93,67,49,49,57
435,Lipika Nagar,82,90,38,85,76,91
436,Inaya Barad,88,39,84,75,41,40
437,Abeer Viswanathan,52,91,89,34,49,52
438,Arunima Bhatt,93,62,72,39,79,70
439,Reyansh Naidu,84,79,62,66,97,85
440,Ronith Agarwal,55,97,74,43,33,73
441,Gauri Bhalla,36,48,82,90,83,41
442,Falguni Datta,67,37,69,90,73,74
443,Gauri Ganguly,46,97,82,80,96,99
444,Samarth Narayan,75,92,69,93,38,58
445,Advay Krishnan,99,90,88,30,82,50
446,Rachana Borra,98,49,87,98,31,58
447,Devansh Arora,99,52,91,45,58,30
448,Sudiksha Sarma,80,45,41,45,58,41
449,Tripti Muni,98,96,42,43,51,61
450,Alexander Garde,56,71,33,79,70,54
451,Wishi Uppal,75,94,72,78,30,51
452,Kamala Master,70,98,35,35,44,77
453,Anjali Gupta,40,33,90,34,55,66
454,Veer Buch,56,33,97,72,77,98
455,Chanakya Savant,78,71,66,79,64,32
456,Ranveer Natt,37,52,40,55,68,77
457,Bhavika Iyengar,36,52,72,66,67,32
458,Harita Agate,65,68,89,79,78,41
459,Shaurya Chaudhry,97,38,75,59,55,53
460,Libni Khatri,45,70,49,77,57,79
461,Bhavika Doctor,51,53,64,72,74,90
462,Saksham Varma,74,77,63,54,74,76
463,Rachana Chand,82,88,97,84,87,75
464,Anya Chokshi,62,94,95,80,99,78
465,Varsha Sura,64,49,72,95,54,88
466,Libni Memon,73,50,78,36,95,99
467,Ikshita Chawla,61,37,82,48,72,61
468,Forum Goda,42,36,37,32,61,38
469,Rudra Dalal,91,45,95,67,31,38
470,Aarnav Chauhan,44,59,48,30,44,72
471,Bimala Chaudhry,58,54,80,47,67,98
472,Mason Nagi,47,55,43,72,34,91
473,Ranveer Upadhyay,73,34,79,70,59,35
474,Caleb Oommen,81,48,78,52,94,93
475,Kabir Puri,89,30,31,30,52,62
476,Jack Vyas,31,62,66,38,75,55
477,Yasti Mitra,51,54,81,61,31,94
478,Theodore Wason,44,55,97,53,63,90
479,Balveer Sanghvi,64,47,72,40,80,50
480,Pooja Shanker,68,93,46,45,77,52
481,Veda Shetty,89,36,97,75,47,94
482,Yashodhara Bajwa,76,35,31,61,57,67
483,Shravya Prakash,71,30,63,78,77,66
484,Geetika Madan,96,45,44,91,56,99
485,Hemang Deshmukh,91,70,64,66,38,69
486,Girik Tata,66,92,45,50,53,78
487,Turvi Jhaveri,93,97,56,68,37,55
488,Hritik Nayar,70,47,79,55,64,53
489,Tristan Datta,39,95,74,97,95,99
490,Ishaan Sawhney,43,33,75,53,71,61
491,Leela Oza,49,59,54,55,32,92
492,Inaya Chanda,50,87,35,45,85,91
493,Tanmayi Bhatnagar,57,97,68,30,58,40
494,Nitesh Srivastava,79,55,31,87,71,92
495,Aarush Dara,82,92,73,33,61,88
496,Anvi Krishna,81,84,76,52,38,31
497,Amol Chokshi,59,96,76,50,69,67
498,Qushi Bali,64,56,84,98,74,34
499,Veda Dara,38,38,44,46,57,70
500,Vidhi Sampath,60,49,72,75,83,64
501,Advik Menon,55,57,83,44,61,37
502,Unnati Sridhar,86,31,61,38,92,99
503,Vedika Wagle,76,80,72,54,61,78
504,Barkha Dasgupta,47,78,38,48,76,38
505,Fariq Chana,60,82,98,56,33,80
506,Azaan Karnik,95,68,42,49,61,60
507,Ucchal Chaudhry,48,44,93,66,51,54
508,Anmol Devi,52,90,67,40,66,75
509,Lucky Sekhon,68,68,77,72,48,89
510,Falguni Shankar,87,57,33,31,86,91
511,Alexander Keer,52,42,92,45,56,77
512,Vidhi Sandhu,55,53,52,32,37,54
513,Yauvani Warrior,74,70,49,57,52,94
514,Ucchal Sood,31,85,31,87,89,91
515,Samuel Kalla,74,79,59,87,53,89
516,Zashil Walla,62,58,46,83,30,74
517,Falak Goel,75,31,88,81,63,47
518,Janaki Sathe,85,70,87,78,68,46
519,Daksha Padmanabhan,92,94,35,54,87,60
520,Elijah Wali,74,40,43,77,92,53
521,Manbir Bhasin,37,34,35,53,36,80
522,Raagini Master,30,35,79,88,65,31
523,Ikshita Dyal,97,71,47,35,91,62
524,Teerth Dhar,96,97,72,62,91,49
525,Aadhya Bakshi,61,74,69,42,43,84
526,Harita Kunda,37,89,95,57,92,78
527,Vaishnavi Parmar,94,91,55,77,56,66
528,Kavya Bansal,82,43,96,91,86,60
529,Nitara Pall,60,90,96,97,67,72
530,Yashica Bail,30,93,86,41,68,66
531,Manan Gokhale,54,75,60,97,52,93
532,Jairaj Chandran,70,77,65,72,55,36
533,Saanvi Kari,82,63,38,44,94,77
534,Joshua Doctor,53,66,85,97,61,52
535,Watika Sampath,96,47,62,68,33,41
536,Frederick Thakkar,90,41,57,41,56,69
537,Gaurav Bhavsar,83,57,96,50,47,90
538,Libni Naidu,76,76,49,91,32,37
539,Qarin Pandit,55,86,39,80,60,79
540,Eta Hegde,42,47,43,59,79,98
541,Tanvi Ramachandran,68,53,97,38,60,46
542,Upadhriti Raghavan,90,51,56,99,92,73
543,Aarna Talwar,52,37,84,58,77,76
544,Isaiah Sant,52,97,72,51,75,45
545,Ridhi Sampath,45,48,99,94,77,94
546,Ryan Borah,57,93,69,78,96,45
547,Advaith Batta,57,42,40,77,70,69
548,Reyansh Kapadia,88,36,99,57,77,73
549,Benjamin Viswanathan,93,55,74,37,56,96
550,Hemang Chaudry,57,69,38,68,58,81
551,Bishakha Sane,47,73,58,58,52,81
552,Chandran Oak,32,85,83,45,35,32
553,Sanaya Purohit,50,89,62,75,74,50
554,Ijaya Pingle,31,54,33,82,67,56
555,Damini Sanghvi,88,60,58,69,86,98
556,Maya Mukhopadhyay,59,35,97,87,72,89
557,Hemang Sengupta,45,65,97,89,33,68
558,Gopal Kannan,32,80,41,37,62,34
559,Tanay Patla,81,53,42,36,92,74
560,Anirudh Bhatt,98,60,59,74,82,48
561,Bhavani Ramakrishnan,43,50,84,72,90,73
562,Chakrika Kanda,87,47,48,53,92,59
563,Peter Mall,41,78,58,33,30,46
564,Nimrat Sengupta,94,81,66,56,41,79
565,Xalak Bora,51,90,48,94,74,40
566,Jyoti Tak,52,36,75,42,72,34
567,Elijah Prashad,43,45,34,95,85,38
568,Chakradhar Din,61,46,91,73,87,60
569,Anjali Shere,70,36,79,35,84,64
570,Fitan Mander,65,60,79,71,30,32
571,Saksham Keer,75,78,52,56,84,52
572,Chatura Bahl,36,67,67,38,41,56
573,Vincent Tara,96,51,61,31,97,82
574,Irya Sahni,32,32,54,41,68,59
575,Liam Mannan,59,94,55,46,48,78
576,Qasim Bains,64,82,58,68,87,56
577,Oni Nagi,48,52,57,64,71,53
578,Faris Kapoor,86,74,56,99,81,39
579,Nikita Narang,78,72,46,88,93,40
580,Vihaan Goyal,89,30,93,60,64,53
581,Ira Wadhwa,43,55,41,79,68,60
582,Raksha Rau,43,36,33,94,74,54
583,Oliver Andra,39,60,30,94,38,64
584,Rajeshri Parmer,64,46,81,51,88,99
585,Christopher Verma,95,40,45,70,91,83
586,Kamala Rout,98,81,41,62,43,92
587,Oviya De,85,54,47,44,65,67
588,Rachit Bajwa,86,99,44,97,54,56
589,Pranav Kara,47,30,80,85,87,71
590,Hardik Kata,84,58,68,68,91,60
591,Harita Shenoy,65,36,92,48,77,69
592,Tanveer Mukherjee,99,34,74,98,79,70
593,Fariq Wable,47,40,32,43,92,96
594,Amol Raval,36,61,48,54,36,30
595,Nidhi Krish,41,49,44,35,95,92
596,Zayyan Soni,77,66,80,89,39,34
597,Kashish Cheema,63,46,56,92,53,37
598,Triya Krishnan,79,87,34,42,72,47
599,Wridesh Yohannan,90,80,54,81,73,39
600,Yahvi Chada,47,53,53,53,63,49
601,Veda Talwar,75,36,67,32,61,54
602,Finn Karan,43,35,45,82,41,31
